Resistors:  (1, 2, 4, 8)
100.0000 Ohm using      80+20      , most stressed R=80 at   80%, possible overload 125.0%
103.3333 Ohm using  80+(40|20)+10  , most stressed R=80 at   77%, possible overload 129.2%
108.0000 Ohm using  80+(40|10)+20  , most stressed R=80 at   74%, possible overload 135.0%
110.0000 Ohm using     80+20+10    , most stressed R=80 at   73%, possible overload 137.5%
120.0000 Ohm using      80+40      , most stressed R=80 at   67%, possible overload 150.0%
126.6667 Ohm using  80+40+(20|10)  , most stressed R=80 at   63%, possible overload 158.3%
130.0000 Ohm using     80+40+10    , most stressed R=80 at   62%, possible overload 162.5%
140.0000 Ohm using     80+40+20    , most stressed R=80 at   57%, possible overload 175.0%
150.0000 Ohm using   80+40+20+10   , most stressed R=80 at   53%, possible overload 187.5%
74 records 
  0.5 Ohm with 0.00% error   0.5000 using     (8|4|2|1)  |  (40|10)        0.5333 |  8.0000
  0.6 Ohm with 0.00% error   0.6000 using  (8|2|1)  |  (80|20)+(40|10)     0.6154 | 24.0000
  0.7 Ohm with 0.13% error   0.7009 using  8|(4+2)|1  |  (80+20)|40|10     0.7742 |  7.4074
  0.8 Ohm with 0.00% error   0.8000 using             (4|1)                   0.8000   
  0.9 Ohm with 0.00% error   0.9000 using       (8+2)|1  |  80+10          0.9091 | 90.0000
  1.0 Ohm with 0.00% error   1.0000 using               1                     1.0000   
  1.1 Ohm with 0.00% error   1.1000 using   (8|4|2)  |  (80+20+10)|40      1.1429 | 29.3333
  1.2 Ohm with 0.00% error   1.2000 using      8|(4+1)|2  |  80+40         1.2121 | 120.0000
  1.3 Ohm with 0.18% error   1.3023 using      (4|2)  |  (80|20)+40        1.3333 | 56.0000
  1.4 Ohm with 0.00% error   1.4000 using      (4+1)|2  |  40+20+10        1.4286 | 70.0000
  1.5 Ohm with 0.00% error   1.5000 using   (8|2)  |  (80|20)+(40|10)      1.6000 | 24.0000
  1.6 Ohm with 0.00% error   1.6000 using             (8|2)                   1.6000   
  1.7 Ohm with 0.03% error   1.7006 using      (8+4+1)|2  |  80+10         1.7333 | 90.0000
  1.8 Ohm with 0.25% error   1.8045 using    (8|4|2)+1  |  (80|40|20)      2.1429 | 11.4286
  1.9 Ohm with 0.25% error   1.9048 using            2  |  40              2.0000 | 40.0000
  2.0 Ohm with 0.00% error   2.0000 using               2                     2.0000   
  2.1 Ohm with 0.00% error   2.1000 using     8|(2+1)  |  (80|20)+40       2.1818 | 56.0000
  2.2 Ohm with 0.01% error   2.2003 using     (8|1)+2  |  (80+40)|10       2.8889 |  9.2308
  2.3 Ohm with 0.04% error   2.3009 using         (8|2)+1  |  20           2.6000 | 20.0000
  2.4 Ohm with 0.00% error   2.4000 using          (8|2)+(4|1)                2.4000   
  2.5 Ohm with 0.00% error   2.5000 using          (8|4)  |  40            2.6667 | 40.0000
  2.6 Ohm with 0.00% error   2.6000 using            (8|2)+1                  2.6000   
  2.7 Ohm with 0.00% error   2.7000 using   (8+1)|4  |  80+(40|10)+20      2.7692 | 108.0000
  2.8 Ohm with 0.00% error   2.8000 using            (4|1)+2                  2.8000   
  2.9 Ohm with 0.04% error   2.9011 using       2+1  |  80+(40|10)         3.0000 | 88.0000
  3.0 Ohm with 0.00% error   3.0000 using              2+1                    3.0000   
  3.1 Ohm with 0.28% error   3.1088 using (8|4)+(2|1)  |  (80|20|10)+40    3.3333 | 46.1538
  3.2 Ohm with 0.00% error   3.2000 using       (8|4)+(2|1)  |  80         3.3333 | 80.0000
  3.3 Ohm with 0.00% error   3.3000 using     8|(4+2)  |  80+(40|10)       3.4286 | 88.0000
  3.4 Ohm with 0.32% error   3.4109 using     (8|4)+1  |  (80|10)+40       3.6667 | 48.8889
  3.5 Ohm with 0.00% error   3.5000 using    8|(4+2+1)  |  (80|20)+40      3.7333 | 56.0000
  3.6 Ohm with 0.00% error   3.6000 using          (8+1)|(4+2)                3.6000   
  3.7 Ohm with 0.04% error   3.7015 using     (8|1)+4+2  |  (40|10)        6.8889 |  8.0000
  3.8 Ohm with 0.11% error   3.8040 using     (8|1)+4  |  (80+40)|20       4.8889 | 17.1429
  3.9 Ohm with 0.18% error   3.9070 using  (8|4)+2  |  (80|20)+(40|10)     4.6667 | 24.0000
  4.0 Ohm with 0.00% error   4.0000 using               4                     4.0000   
  4.1 Ohm with 0.18% error   4.1076 using  (8|2|1)+4  |  80|(40+20+10)     4.6154 | 37.3333
  4.2 Ohm with 0.00% error   4.2000 using    (8|2|1)+4  |  40+(20|10)      4.6154 | 46.6667
  4.3 Ohm with 0.03% error   4.3011 using       4+1  |  80|(40+10)         5.0000 | 30.7692
  4.4 Ohm with 0.00% error   4.4000 using       4+1  |  (80|40)+10         5.0000 | 36.6667
  4.5 Ohm with 0.01% error   4.5006 using   (8|1)+4  |  (80|40)+20+10      4.8889 | 56.6667
  4.6 Ohm with 0.11% error   4.6053 using     8+(4|2)  |  (80+20)|10       9.3333 |  9.0909
  4.7 Ohm with 0.05% error   4.7023 using   (8|2)+4  |  (80+20+10)|40      5.6000 | 29.3333
  4.8 Ohm with 0.00% error   4.8000 using         4+1  |  80+40            5.0000 | 120.0000
  4.9 Ohm with 0.06% error   4.9027 using      4+2+1  |  (80+10)|20        7.0000 | 16.3636
  5.0 Ohm with 0.00% error   5.0000 using              4+1                    5.0000   
  5.1 Ohm with 0.13% error   5.1064 using       4+2  |  80|(40+20)         6.0000 | 34.2857
  5.2 Ohm with 0.25% error   5.2130 using  (8|1)+4+2  |  (80|40|20)+10     6.8889 | 21.4286
  5.3 Ohm with 0.02% error   5.3012 using      8+(4|1)  |  (40|20)         8.8000 | 13.3333
  5.4 Ohm with 0.18% error   5.4098 using      (8|2)+4+1  |  20+10         6.6000 | 30.0000
  5.5 Ohm with 0.00% error   5.5000 using     4+2  |  (80|20)+40+10        6.0000 | 66.0000
  5.6 Ohm with 0.00% error   5.6000 using            (8|2)+4                  5.6000   
  5.7 Ohm with 0.05% error   5.7026 using      4+2+1  |  80|(40+10)        7.0000 | 30.7692
  5.8 Ohm with 0.11% error   5.8065 using       8+1  |  (80+10)|20         9.0000 | 16.3636
  5.9 Ohm with 0.03% error   5.9016 using       8+1  |  (80+40)|20         9.0000 | 17.1429
  6.0 Ohm with 0.00% error   6.0000 using              4+2                    6.0000   
  6.1 Ohm with 0.12% error   6.1075 using  8|(4+2)|1  +  (80|40|20|10)     0.7742 +  5.3333
  6.2 Ohm with 0.04% error   6.2028 using     8+(2|1)  |  80|(20+10)       8.6667 | 21.8182
  6.3 Ohm with 0.05% error   6.3029 using     (8|2)+4+1  |  80+40+20       6.6000 | 140.0000
  6.4 Ohm with 0.09% error   6.4057 using    8+1  |  (80|10)+(40|20)       9.0000 | 22.2222
  6.5 Ohm with 0.00% error   6.5000 using     8+(2|1)  |  (80|20)+10       8.6667 | 26.0000
  6.6 Ohm with 0.00% error   6.6000 using           (8|2)+4+1                 6.6000   
  6.7 Ohm with 0.01% error   6.7005 using      8+2+1  |  (80+40)|20       11.0000 | 17.1429
  6.8 Ohm with 0.06% error   6.8041 using       8+(4|1)  |  20+10          8.8000 | 30.0000
  6.9 Ohm with 0.20% error   6.9136 using      8+(4|2)  |  (80|40)         9.3333 | 26.6667
  7.0 Ohm with 0.00% error   7.0000 using             4+2+1                   7.0000   
  7.1 Ohm with 0.22% error   7.1158 using    (4|1)  +  (80+40)|20|10       0.8000 +  6.3158
  7.2 Ohm with 0.00% error   7.2000 using     (8|4|2|1)  +  (20|10)        0.5333 +  6.6667
  7.3 Ohm with 0.13% error   7.3092 using     8+(2|1)  |  40+(20|10)       8.6667 | 46.6667
  7.4 Ohm with 0.05% error   7.4038 using     8+(4|1)  |  40+(20|10)       8.8000 | 46.6667
  7.5 Ohm with 0.00% error   7.5000 using          8  |  80+40             8.0000 | 120.0000
  7.6 Ohm with 0.00% error   7.6000 using     (8+4+2)|1  +  (20|10)        0.9333 +  6.6667
  7.7 Ohm with 0.08% error   7.7064 using      8+4+2  |  (80+40)|20       14.0000 | 17.1429
  7.8 Ohm with 0.00% error   7.8000 using    8+(4|2|1)  |  80+(20|10)      8.5714 | 86.6667
  7.9 Ohm with 0.05% error   7.9043 using    (8+4)|2|1  +  (80|40|10)      0.6316 +  7.2727
